date,pancakeswap,curve,makerdao,uniswap,Compound,AAVE,sushiswap,anchor
2022-02-27,4273227537.3912067,17890599853.59491,15487101388.19371,6979589924.920946,6957963801.806985,12013231448.944736,5792640518.395851,10573608222.03068
2022-02-28,4541815965.569941,17548896388.391132,15017845311.594656,6777475466.769749,6739434655.7365465,11531598303.633154,5792640518.395851,10318694107.859867
2022-03-01,4517505576.473042,18235461953.90707,16095950003.655079,7252441565.66309,7338232199.421604,12431520222.449535,5792640518.395851,11280375933.271946
2022-03-02,4458986298.469465,18345328554.506493,16342178887.708782,7395755233.792751,7241133977.7511425,12458743747.892569,5792640518.395851,11474383154.720451
2022-03-03,4414278773.406927,18670926538.519382,16072333866.753674,7399874066.157647,7255725730.384558,12412340300.068073,5792640518.395851,11629544789.629227
2022-03-04,4220784943.6779084,18072166989.654285,15670135941.788607,7301588059.6702175,6896175440.854766,11924999416.127186,5792640518.395851,11476474042.366558
2022-03-05,4289110338.523642,17805997717.20083,14997770253.505339,6920576413.178792,6420877468.353454,11495469079.999521,5792640518.395851,11200046467.806986
2022-03-06,4207524695.345502,17949425018.932564,15142692337.759106,7040642354.466211,6544212578.235401,11683386809.37304,5792640518.395851,11591929923.882149
2022-03-07,4230146162.081594,17739216686.236282,14901251724.291342,6759584833.830137,6393233497.301151,11387449349.37637,5792640518.395851,11232923792.834023
2022-03-08,4211473263.6698985,17630804050.089184,14775660937.314184,6637201182.611495,6399965002.96418,11404642231.125732,5792640518.395851,11466832645.87567
2022-03-09,4441805206.102648,17706443087.50905,15034844336.553831,6820103404.629585,6565422698.913824,11573166294.806572,5792640518.395851,12003108285.66153
2022-03-10,4343536926.3185,18032110942.386765,15636627537.980953,7048862717.871619,6735401670.912152,12085462156.869774,5792640518.395851,12835749232.01939
2022-03-11,4349413405.549961,17798597843.04734,15199804376.624014,6887995281.206826,6481716778.567094,11483583853.877537,5792640518.395851,12853542830.41941
2022-03-12,4363125910.422973,17735761450.185238,15057978411.60233,6824212687.293035,6480655475.593667,11343390196.697285,5792640518.395851,12658500996.928524
2022-03-13,4276637179.4630256,17728674008.721905,15080234286.3993,6858645899.7125435,6492585411.775957,11343531875.947603,5792640518.395851,12528059620.441795
2022-03-14,4365505990.334694,17566857851.19287,14848660826.286043,6710341323.740777,6417550574.9828415,11174142127.351486,5792640518.395851,12666449595.40086
2022-03-15,4343733500.257994,17783150975.29224,15114573248.024954,6814580555.203782,6432527024.996672,11394133636.609102,3421424996.97879,13153109802.95988
